method,dataset_id,prompt_variant,result_available,final_parse_success,output_directory
neon-gpt,project2_Sophia_3_Reorchestration_71392573d4,P0,true,0,outputs/stage_a1/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sophia_3_Reorchestration_71392573d4/P0/seed_42
neon-gpt,project2_Sophia_3_Reorchestration_71392573d4,P1,true,0,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sophia_3_Reorchestration_71392573d4/P1/seed_42
neon-gpt,project2_Sophia_3_Reorchestration_71392573d4,P2,true,1,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sophia_3_Reorchestration_71392573d4/P2/seed_42
neon-gpt,project2_FestS_76555d3566,P0,true,1,outputs/stage_a1/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_FestS_76555d3566/P0/seed_42
neon-gpt,project2_FestS_76555d3566,P1,true,0,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_FestS_76555d3566/P1/seed_42
neon-gpt,project2_FestS_76555d3566,P2,true,1,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_FestS_76555d3566/P2/seed_42
neon-gpt,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,P0,true,1,outputs/stage_a1/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18/P0/seed_42
neon-gpt,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,P1,true,1,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18/P1/seed_42
neon-gpt,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,P2,true,1,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18/P2/seed_42
neon-gpt,project2_HospitalS_37f96aff7d,P0,true,0,outputs/stage_a1/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_HospitalS_37f96aff7d/P0/seed_42
neon-gpt,project2_HospitalS_37f96aff7d,P1,true,0,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_HospitalS_37f96aff7d/P1/seed_42
neon-gpt,project2_HospitalS_37f96aff7d,P2,true,1,outputs/stage_a2/project2/neon-gpt/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_HospitalS_37f96aff7d/P2/seed_42
